date,action_id,proxy_value
2026-07-01,deep_original,93.9
2026-07-01,deep_original,93.1
2026-07-01,topic_pileup,136.8
2026-07-02,deep_original,96.4
2026-07-02,deep_original,86.4
2026-07-02,deep_original,84.3
2026-07-03,deep_original,86.3
2026-07-03,topic_pileup,123.9
2026-07-03,deep_original,96.2
2026-07-04,deep_original,89.5
2026-07-04,topic_pileup,123.8
2026-07-04,deep_original,87.2
2026-07-05,title_shock,184.0
2026-07-05,deep_original,86.0
2026-07-05,deep_original,95.5
2026-07-06,deep_original,94.7
2026-07-06,deep_original,82.3
2026-07-06,deep_original,88.0
2026-07-07,deep_original,84.3
2026-07-07,deep_original,82.1
2026-07-07,deep_original,80.3
2026-07-08,deep_original,91.9
2026-07-08,deep_original,94.2
2026-07-08,topic_pileup,131.4
2026-07-09,deep_original,87.4
2026-07-09,topic_pileup,136.2
2026-07-09,deep_original,84.7
2026-07-10,deep_original,92.1
2026-07-10,deep_original,84.8
2026-07-10,deep_original,93.2
2026-07-11,deep_original,87.5
2026-07-11,deep_original,81.7
2026-07-11,deep_original,79.6
2026-07-12,deep_original,82.2
2026-07-12,deep_original,85.7
2026-07-12,deep_original,77.9
2026-07-13,deep_original,77.9
2026-07-13,deep_original,89.8
2026-07-13,topic_pileup,138.7
2026-07-14,deep_original,83.0
2026-07-14,deep_original,77.8
2026-07-14,topic_pileup,123.5
2026-07-15,deep_original,76.1
2026-07-15,topic_pileup,126.0
2026-07-15,deep_original,88.3
2026-07-16,deep_original,88.1
2026-07-16,deep_original,79.2
2026-07-16,deep_original,75.9
2026-07-17,deep_original,75.5
2026-07-17,deep_original,82.6
2026-07-17,deep_original,89.1
2026-07-18,deep_original,77.7
2026-07-18,deep_original,81.2
2026-07-18,deep_original,88.6
2026-07-19,deep_original,89.8
2026-07-19,deep_original,76.8
2026-07-19,title_shock,234.9
2026-07-20,topic_pileup,157.1
2026-07-20,title_shock,244.4
2026-07-20,deep_original,89.6
2026-07-21,topic_pileup,173.1
2026-07-21,title_shock,237.4
2026-07-21,emoji_bait,240.3
2026-07-22,title_shock,251.9
2026-07-22,deep_original,89.4
2026-07-22,title_shock,271.5
2026-07-23,deep_original,89.5
2026-07-23,title_shock,274.4
2026-07-23,topic_pileup,180.0
2026-07-24,topic_pileup,178.4
2026-07-24,deep_original,80.0
2026-07-24,topic_pileup,182.4
2026-07-25,deep_original,82.0
2026-07-25,topic_pileup,196.6
2026-07-25,deep_original,82.1
2026-07-26,deep_original,77.4
2026-07-26,topic_pileup,187.0
2026-07-26,title_shock,320.1
2026-07-27,topic_pileup,206.4
2026-07-27,topic_pileup,200.3
2026-07-27,deep_original,89.4
2026-07-28,topic_pileup,205.7
2026-07-28,emoji_bait,314.8
2026-07-28,topic_pileup,201.3
2026-07-29,title_shock,341.7
2026-07-29,title_shock,355.8
2026-07-29,title_shock,338.8
2026-07-30,title_shock,362.2
2026-07-30,topic_pileup,209.6
2026-07-30,topic_pileup,219.5
2026-07-31,emoji_bait,341.7
2026-07-31,emoji_bait,350.1
2026-07-31,topic_pileup,221.9
2026-08-01,title_shock,376.5
2026-08-01,topic_pileup,217.8
2026-08-01,title_shock,370.2
2026-08-02,emoji_bait,337.9
2026-08-02,deep_original,78.1
2026-08-02,emoji_bait,351.7
2026-08-03,title_shock,372.8
2026-08-03,emoji_bait,349.1
2026-08-03,topic_pileup,231.6
2026-08-04,topic_pileup,223.2
2026-08-04,title_shock,367.9
2026-08-04,title_shock,371.7
2026-08-05,deep_original,75.3
2026-08-05,title_shock,359.1
2026-08-05,emoji_bait,338.9
2026-08-06,emoji_bait,347.4
2026-08-06,title_shock,378.3
2026-08-06,topic_pileup,217.4
2026-08-07,topic_pileup,226.7
2026-08-07,topic_pileup,214.3
2026-08-07,topic_pileup,219.7
2026-08-08,emoji_bait,338.7
2026-08-08,emoji_bait,351.9
2026-08-08,title_shock,359.9
2026-08-09,topic_pileup,233.7
2026-08-09,title_shock,371.7
2026-08-09,topic_pileup,221.9
2026-08-10,emoji_bait,352.5
2026-08-10,topic_pileup,215.3
2026-08-10,topic_pileup,214.1
